Username,Type ,"Type 1 = fake user, Type 0 = real user, Type 2 = new user",Inputted by,Verified by,Reason,verification notes,"Tertiary Annotation: Type 1 = fake seller, Type 0 = established seller, Type 2 = new seller"
thriftlu,clothing,0,Serena,,,,0
consciousbrat,clothing,0,Esther,,,,0
joyyw,clothing,0,Esther,,,,0
gr00vysushi,clothing,,Esther,,,,0
crystallxoxo,clothing,,Esther,,,,0
thuggathuggababy,clothing,,Esther,,,,0
,,,,,,,
lauraggrace,clothing,1,Esther,Kylie,Bad review w stock images,,1
savannahdunrod,clothing,0,Esther,,,,0
tiana_parker,clothing,0,Esther,,ig profile has her depop,,2
cassielavender,clothing,0,Esther,,,,0
sahoon,clothing,0,Esther,,,,0
idkdontask,clothing,0,Esther,,,,2
nellyworethis,clothing,0,Esther,,,,2
gracus_fellacus,clothing,0,Esther,,,,0
pamelaannpaulshock,clothing,0,Esther,,,,2
shopapril2000,clothing,1,Esther,,,,1
luuvbree,clothing,0,Esther,,,,2
jimmylawson,clothing,1,Esther,Kylie ,"Double listing, high end brands at low price",,1
abigale721,clothing,0,Esther,,poshmark account has double listed posts,,2
easymoneysniperustin,clothing,0,Esther,,background has similar themes,,2
jayjay2690,clothing,1,Esther,- kylie thinks this is 0,not sure about this one,,2
shark_sells,clothing,0,Esther,,poshmark account has double listed posts,,2
mugaberoy,clothing,1,Esther,0,not sure,,1
100bucks,clothing,0,Esther,,,,2
oisincfc,clothing,0,Esther,,,,2
gabbygout,clothing,0,Esther,0,not sure but google images didn't show anything and they seem like a regular preteen girl who really likes lululemon,,2
delulufinatic,clothing,0,Esther,,^^,,2
alliehughen,clothing,0,Esther,,ig bio,,2
rileebri,clothing,0,Esther,,crosslister,,2
avaham78,clothing,0,Esther,,,,2
alshafferla,clothing,0,Esther,,,,2
alexiabenss,clothing,0,Esther,,,,2
jennahp,clothing,0,Esther,,,,2
izzybenavides,clothing,0,Esther,0,lots of stock photos + they were left one bad review but deleted it,,2
gracieselll,clothing,0,Esther,,,,2
sincerelymxriee,clothing,0,Esther,,,,2
bellexa,clothing,0,Esther,,,,2
itzstasii,clothing,0,Esther,,,,2
uhlarik,clothing,1,Esther,Kylie,doesn't send items (repeat offender),,1
pma2155,clothing,0,Esther,,,,0
nahomiehomie,clothing,0,Esther,,,,2
lauragodfrayx1,clothing,0,Esther,,,,2
diggyhill,clothing,0,Esther,,,,2
bestdeel,clothing,0,Esther,not found,crosslisted on ebay as etiquette.ki_73,,2
evie_slim8382,clothing,0,Esther,,,,2
sophiawoodhead02,clothing,0,Esther,,,,2
suad444,clothing,1,Esther,n/a,photos from ebay from ritwarn-23 for twice the price,,1
stuu11,clothing,0,Esther,,,,2
chynezz,clothing,0,Esther,,,,2
ehoxhallarii1,clothing,0,Esther,,,,2
boujee_closet,clothing,0,Esther,,,,0
zeimetz,clothing,0,Esther,,,,0
lustdoly,clothing,0,Esther,,,,0
gp223,clothing,0,Esther,,,,2
yuckkk,clothing,0,Esther,,,,0
anoterosllc,clothing,1,Esther,0,,,1
alp90,clothing,0,Esther,,,,2
tafitz23,clothing,0,Esther,,,,0
sesgey,clothing,0,Esther,,,,2
sslusser,clothing,0,Esther,,crosslister,,2
missyjoy,clothing,0,Esther,,,,2
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
btsellz,,0,Kylie,,,,2
1garf,,0,Kylie,,,,0
brxysk,,0,Kylie,,,,2
beck_murdock,,0,Kylie,,,,0
vestureportal,,0,Kylie,,,,
damedollathrift,,0,Kylie,,,,0
dayanara_n,,0,Kylie,,,,0
donesimply,,0,Kylie,,,,2
pjp_vintage,,0,Kylie,,,,0
patricksmith0588,,0,Kylie,,,,2
obsessin,,fake potential,Kylie,,,https://www.depop.com/obssesin/,
colfacts,,fake potential,Kylie,,,https://www.depop.com/products/colfacts-harley-davidson-x-looney-toons/,0
viperbusiness,,0,Kylie,,,,0
zakerone,,1,Kylie,,,,0
kaidamarie,,1,Kylie,,,,2
,,,Kylie,,,,
,,,Kylie,,,,
,,,Kylie,,,,
,,,Kylie,,,,
,,,Kylie,,,,
